歌曲名,专辑名,艺人名,歌曲译名
Vermeer's Studio,Girl With a Pearl Earring (Original Motion Picture Soundtrack),Alexandre Desplat,
扈蓬独白：我愿意,幸福小说原声带,查可欣,
暗处,爱的代价,张艾嘉,A Dark Place
Pearly River Gates,Spellbound Scenes of My Cure,Maximilian Hecker,天堂口
Good Spring Co LTD,Louis Vuitton SoundWalk: Hong Kong,舒淇,春回堂药行
BLOODY MONDAY,Bloody Monday (Original Soundtrack),井筒昭雄,
山下 (2018重制版),拾贰,方拾贰,
猪老三,第三季好歌曲导师大碟——刘欢组专辑,何大河,
水星记,飞行器的执行周期,郭顶,Mercury Records
Comforting Sounds,Frengers,Mew,
Busy Earnin',Jungle,Jungle,
Lazy Cage,Mood Dealer,Xuman,
Palm Trees,We Loved Her Dearly,Lowell,
Skinny Love,"For Emma, Forever Ago",Bon Iver,
Myth,Bloom,Beach House,
カナリアが死んだ,ジェーン・バーキンのように泣けばいい,川越美和,
Glow,Waves,Melorman,
游园惊梦 (Album Preview Mix),游园惊梦,白天不亮,
西街,南方Ⅱ,48V,
倘若,潮汐去,燕池,
一个八十岁的故事,安眠曲集,Keemo,An 80-year-old Story
Back To Life (LBCK Remix),Back To Life (LBCK Remix),LBCK;Patawawa,
Lemon,Lemon,N.E.R.D.;Rihanna,
E.T.,E.T.,Katy Perry;Kanye West,
在到处之间找我 (粤),失忆年代: 被遗忘的一把手术刀,梁翘柏,In Between (Cantonese Version)
Assassin's Tango,Mr. & Mrs. Smith,John Powell,
The Gravel Road,The Village (Original Score),James Newton Howard,
Talking To The Moon,Doo-Wops & Hooligans,Bruno Mars,
Main Title,"미안하다, 사랑한다 O.S.T",최성욱,
꽃날(Inst.),황진이 O.S.T,韩国原声带,花日
Wake Me Up When September Ends ,American Idiot,Green Day,
End Of May,Not Going Anywhere,Keren Ann,
Way Back Into Love,Love 101 : 101 Ways To Say I Love You ,Hugh Grant;Haley Bennett,
She,Pomp & Pout,Elvis Costello,
La valse d'Amélie (Version originale),Le fabuleux destin d'Amélie Poulain,Yann Tiersen,
Pasión,O Mundo: 1993-2006,Rodrigo Leão,
Theme from Papillon,Papillon,Jerry Goldsmith,
돌이킬 수 없는 걸음(No Path Back),"장화, 홍련 O.S.T",李秉佑,
Satin Birds,W.E. (Music from the Motion Picture),Abel Korzeniowski,
Chosen,Cupid Deluxe,Blood Orange,
Like Lust,Movement,Movement,
高雅～メインテーマ,源氏物語千年紀  Genji (Original Soundtrack),S.E.N.S.,
Song of Time,Music for Drama,Abel Korzeniowski,
Table for Two,Nocturnal Animals (Original Motion Picture Soundtrack),Abel Korzeniowski,
Song Of The White Dove,Caótica Ana,Jocelyn Pook,
The Sheltering Sky Theme,The Sheltering Sky,坂本龍一,
Curtain,Anna Karenina (Music from the Motion Picture),Dario Marianelli,
Pina,Pina,Thomas Hanreich,
Tetramery,Field Drawings,Ryan Teague,
As It (Perhaps) Was,I Capture The Castle,Dario Marianelli,
Opening 标准情人,不夜城,梅林茂,
The Departure,Gattaca,Michael Nyman,
Bee ,Six is Better Than Eight,Detwiije ,
Revenge,Nocturnal Animals (Original Motion Picture Soundtrack),Abel Korzeniowski,
Your Hand,To Forget,A Whisper in the Noise,
Bright,Crystallize,Tokyo Shoegazer,
Alone in Kyoto,Lost In Translation (Original Motion Picture Soundtrack),Air,
Khartoum,Khartoum,There's a Light,
侠,她 千鸟,不可撤销乐队,
Pink And Golden Billows,Charcoal,Brambles,
Nostalgic,Of Smoke And Fire,Lander Configurations,
Who's Got You Singing Again,Futures,PREP,
ソ・ラ・ソ・ミ ~accordion ver.~,異国迷路のクロワーゼ The Animation オリジナルサウンドトラック,コーコーヤ,
Make U Mine,Make U Mine,Caius,
Cat In The Rain,The Black Rain,Anoice,
心动 (Live),想像空间 Live,陈洁仪,
Shape of You,Shape of You,Walk off the Earth,
Every Desire,A Theme For The Moon,Luigi Rubino,
Pinata (Japanese Wallpaper Remix),Pinata (Japanese Wallpaper Remix),Montgomery;Japanese Wallpaper,
Alviverde,Stolen from strangers,三宅純,
女人花,女人花,梅艳芳,
Oh No! Oh Yes!,似火探戈,梅艳芳,
Here We Go ,Mellow Beats Rhymes & Visions,Kero One,
未接来电,ZERO,杨乃文,Missed Call
起点,LinK,铃凯,
Ripple,The Black Rain,Anoice,
涙と鞠つき,courtship,sAr,
\\,melody/summer,The Tumbled Sea,
几つもの悲しみを越えて,太陽と海の教室,服部隆之,
4 AM,Everlasting Truth,I Hate This Place;Re:plus,
Pretty Bye Bye (Hex Cougar Remix),Pretty Bye Bye (Hex Cougar Remix),Hex Cougar;Skrillex,
Meridian,Meridian,su na,
咏叹曲,爱•歌姬,F.I.R.,
月桂女神,Forever,S.H.E,
一眼万年,Forever,S.H.E,
Recall,Your Thorn,Cokiyu,
II quiet romance (殺人考察(前)),the Garden of sinners -劇場版「空の境界」音楽集-,梶浦由記,
寂寞绑架,不特别得很特别,刘思涵,Loneliness Syndrome
不懂爱,不特别得很特别,刘思涵,What's Love
女爵 (Live),TIMEQUAKE 演唱会现场实录,杨乃文,
Intro,xx,The xx,
Princess,Dulcet Series summer special collection,α·Pav,
フローイング,まるで幻の月をみていたような,mol-74,
Pill,Shadow,Mister Lies,
白虎野の娘 (パプリカ・エンディングテーマ),「パプリカ」オリジナルサウンドトラック,平沢進,The Girl in Byakkoya - White Tiger Field
Song for Rome,A Summer In Italy,Brian Crain,
Alicia,Alicia,Darius;Crayon,
Unfaith,Unfaith,Ekali,
flora,drama,[.que],
Andante Cantabile,Piano and Cello Duet,Brian Crain,
Andante Cantabile,Music That Will Make You Cry: New Romantic Classical Piano and Cello Duets,Various Artists,
Till Death Do You Part,Till Death Do You Part,Break My Fucking Sky,
Crown of Amber Canopy,Slow Meadow,Slow Meadow,
Brilliant Stars,Perfect World,Akinobu,
brella.,ame_to_wonder.ep,Bed.,
Windrose,"35° 12' 37​.​0""N, 106° 26' 58​.​9""W",My Cats A Stargazer,
Nothing's Gonna Stop Me Now,The Leftovers (Music from the HBO® Series - Season Three),Max Richter,
Think Of You (piano re-edit) ,All These Things,Kuniyuki Takahashi,
LIFE,S as in Soul.,S as in Soul.,
芳香,Lingering Sound Waves Vol.3,Beatsound,
鹤顶红,柔弱的角,麦浚龙,Red-crowned Crane
你伦敦·我纽约,优与美,蓝奕邦,
Cold Pray,Sentimental Instrumental,5mg,
紫藤花,Forever,S.H.E,
Soledad,Coast to Coast,Westlife,
松果体remix instrumental,,StrawberryPapa,
月牙湾,爱•歌姬,F.I.R.,
SEPTEMBER RAIN,FIRST LIGHT,松下誠,
绿袖子,吉他,陈川,
Dancer on a tangent,Fragments,Motoro Faam,
Remembrance ,"All is Wild, All is Silent",Balmorhea,
The Night,Mediterraneo,Bruno Bavota,
Sunset Song,Asterism,Hidetake Takayama,
绿袖子,星夜·他乡,最好的时光三重奏,
Love You Right,Love You Right,Caius,
Drop Out,Drop Out,Jack​LNDN,
Lazy Afternoon,Other Beats,Niazura,
One Evening,Let It Die,Feist,
Always Somewhere,Lovedrive,Scorpions,
Hallelujah,Széleslátókr,Félperc,
緑閃光,silver lining,LAMP IN TERREN,
愛はこだまする,Where to go my love?,KOKIA,
若水,动情祭,西楼,Water
花,熟悉的荒涼,Hello Nico,
Lover Man (Jazzelicious Remix),The Sound Of Milano Fashion Vol.5,Sarah Vaughan,
Outro Lugar,Outro Lugar,Toco,
Requiem,The Winter of Constantinople,H.E.R.R.,
i ,windvane and window,Flica,
メインテーマ「永遠の一瞬」,この青空に約束をー~ようこそつぐみ寮へ~ (Piano Stories),伊藤賢治,
Clair De Lune,The Evil Within (Original Game Soundtrack),Claude Debussy,
Affection,Change Situations,grooveman Spot,
"Like Sunday, Like Rain","Like Sunday, Like Rain",Ed Harcourt,如晴天似雨天
万物生 (Chillout Remix),Shirley's Era,关淑怡,
陀飞轮,陀飞轮,关淑怡,
他们的季节,当下,范晓萱+A,Their Seasons
你要的爱,怎样,戴佩妮,
接受,燕尾蝶,梁静茹,Acceptance
難破船,Recollection~中森明菜スーパー・ベスト~,中森明菜,
The Shadow Of your Smile 你微笑的影子 ,The Legendary Horn,Various Artists,
"Gustav Holst: The Planets, suite for orchestra & female chorus, Op. 32, H. 125: II - Venus, the Bringer of Peace",Holst: The Planets,Herbert von Karajan;Berliner Philharmoniker,
Öldurót (Tontario Extended Mix),Öldurót (Tontario Remix),Ólafur Arnalds;Tontario,
"Gustav Holst: The Planets, suite for orchestra & female chorus, Op. 32, H. 125: I - Mars, the Bringer of War",Holst: The Planets,Herbert von Karajan;Berliner Philharmoniker,
アヴェマリア,人間失格,大貫妙子,
Say My Name,Late Night Tales: Ólafur Arnalds,Ólafur Arnalds;Arnór Dan,
Song Of The Heart,Dancing The Dream Awake,Connie Ellisor,心的旋律
Kawaii,Fresh,Pop Up!,
Take Me To Shanghai,Take Me To Shanghai,Íse Downes;John Hughes,带我回上海
逃兵,逃兵,杨乃文,
他背对着时代的巨轮，在创造什么？,他背对着时代的巨轮，在创造什么？,罗媛瑗,What does he build over there?
Loving In This Moonlight,Loving In This Moonlight,ナニダト/nanidato,
Song for you,LOVE,平原綾香,
Paris,Now That's What I Call Music! 96,The Chainsmokers,
drowsy.,ame_to_wonder.ep,Bed.,
Song Before You Came,We Hum On The Way Home ,Motohiro Nakashima,
Ocre,Nocturne Impalpable,Chauveau,
Tenderly the Light,Perfect Sense (Original Film Soundtrack),Max Richter,
Opus 44,Lumiere,Dustin O'Halloran,
Ba,Corduroy Road,Goldmund,
light,A broken carousel,Ferri,
cheburashka,nunu,Nunu,
Gymnopedies,Media Bahn Live,坂本龍一,
twilight,Twilight,April Lee;Haruka Nakamura,
欲望(new version),daydream,古明地洋哉,
Paradise Circus,True Blood (Music From The HBO Original Series Volume 3),Massive Attack,
I Want You,Something to Remember,Madonna;Massive Attack,
Break of Dawn,Everything's gonna be all lie,Niha,
September,Dance Trax,"Earth, Wind & Fire",
I'm Not in Love,Guardians of the Galaxy,10cc,
寂寞寂寞就好 (Live),aMEI's Choice Collection,张惠妹,
放开你的头脑 / PLAY我呸 (Live),aMEI's Choice Collection,张惠妹,
默 (Live),aMEI's Choice Collection,张惠妹,
三月,偏执面,张惠妹,March
Angel Echoes (Jon Hopkins Remix),Angel Echoes Remixes,Four Tet,
青春 (MOOV Live 2013),MOOV Live 2013 陈珊妮,陈珊妮,
不器用な情景,パズルの欠片と夢の続き-Best and New-,SPANK PAGE,
放物線,Behind The Scene,ストレイテナー,
Monster,My Beautiful Dark Twisted Fantasy,Kanye West;Rick Ross;Nicki Minaj;Bon Iver;Jay Z,
Heart of Hearts,In Never Out,pg.lost,
Hidden Path,Imminence,Sleep Dealer,
Chaos of silence,myrtle,Sane Masayuki,
はちみつ,NON SUGAR,Brian the Sun,
まるで幻の月をみていたような,まるで幻の月をみていたような,mol-74,
Bamboo,Beautiful Forest,Piano Master,
ポップは、それ自体を食べます,まだあなたが欠落して,haircuts for men,
等一个晴天,等一个晴天 新歌+精选,蔡淳佳,
野花,二十世纪原创经典典藏 龙凤金歌榜,田震,
空港 ,爱灵灵,戴爱玲,
We Only Have Forever (Quiet),We Only Have Forever (Quiet),Lights & Motion,
Another Dream,An Attempt To Fly,Ben Woods,
重复,时间简史,尹晨,
Valse pour maman,Pianoscope,Alexandra Streliski,
清雪,夜空雪風,Aosaki,
Simple Sea,Floral Times,梁晓雪,
只是会可惜,最好还是不说,梁晓雪,
只爱陌生人 (Live),菲比寻常Live!,王菲,
冷战 (Live),菲比寻常Live!,王菲,
暗涌,敷衍,王菲,
你快乐(所以我快乐),王菲,王菲,
阿修罗,寓言,王菲,
新房客,寓言,王菲,
香奈儿 (日语版),寓言,王菲,"Hidden Track, 前有30秒空白"
再见萤火虫,寓言,王菲,
adieu,El Dorado,17 Hippies,
沉默之雨,今天，下雨了,香菇小姐,
时间里的飞人,"不散, 不见",莫文蔚,Time Traveller
彼岸花,寓言,王菲,
Links 2 3 4,Mutter,Rammstein,
Silent night,The Southern Side of The Mountain,重返袖珍时光,
Life Goes On,Life Goes On,Fergie,
Save the flavor Part3 -Insturmental version-,Save the flavor,Otokaze,
"不散, 不见","不散, 不见",莫文蔚,Departures
我的新衣,21,毛衍七;王倩倩;Ty.,
绿袖子,吉他·世界著名吉他名曲精选,华语群星,
Games For Two,Field Drawings,Ryan Teague,
You Build a House on my Back,If you don't understand then I can't explain to you,Pentatonic,
Quiet,Wonderland,[.que],
Faded,Faded,Iselin Solheim;Alan Walker,
花舞 -hua wu-,始・追憶 Start of a Reminiscence,Kitkit Lu,
小茉莉,刺青 电影音乐概念专辑,竹子;小绿,
The Best is Yet to Come,Meow Meow Meow,at17,
雨爱,Rainie & Love ....?,杨丞琳,
漂着,第一张精选,杨乃文,
分心,完美小姐,何欣穗,
旭茉莉,刺青 电影音乐概念专辑,昆虫白,
She & Me,She & Me,何欣穗,
Luv (Sic) Pt2,Hyde Out Productions First Collection,Shing02,
小茉莉,她&她 好女真爱歌,杨丞琳,
不留,将爱,王菲,
Luv (Sic),Hyde Out Productions First Collection,Shing02,
The Median,How It All Breaks Down,Head Down,
...,Ashfield Avenue,Alondra Bentley,
Forget To Begin,The Last Party,The Hampdens,
Holding Out,How It All Breaks Down,Head Down,
你啊你啊,末路狂花,魏如萱,
Time travel,12 Stories,岸部眞明,
Light dance,Tiny Musical,小濑村晶,
Faraway Voice,Call Off the Search,Katie Melua,
Reclamation,How It All Breaks Down,Head Down,
当我来到这里,你所不知道的杜振熙之内部整修,蛋堡;葛仲珊,When I Arrive
关于小熊,收敛水,蛋堡,Bear
Aruarian Dance,samurai champloo music record 『departure』,Nujabes,
潮汐的永恒,潮汐去,燕池,Wait for the unknown
牧神,天鹅,刘宁,
Dr. Jolin,Muse,蔡依林,
玩爱之徒,Jolin - Myself Remix,蔡依林,
许愿池的希腊少女,最佳广告主题曲年鉴,蔡依林,
柠檬草的味道,城堡,蔡依林,
Love Love Love,K情歌 6,蔡依林,
布拉格广场,我们都爱这个伦！,蔡依林,
山林道,山林道,谢安琪,Hillwood Road
沿海公路的出口,我的电台,S.H.E,Coastal Road Exit
如同悲伤被下载了两次,如同悲伤被下载了两次,陈珊妮;林宥嘉,
信爱成瘾,WHY NOT,陈嘉桦,Love addiction
天之大,腔·调,毛阿敏,
年轮说,年轮说,杨丞琳,Traces of Time In Love
少一点天分,|希。O2 | 初雪限定,孙盛希,
毒药解药,毒药解药,周也涵,
Another Wind,Inmost Dens Of Emilie,WhyOceans,
风月,龄·EP,黄龄,
以父之名,叶惠美,周杰伦,
爷爷泡的茶,八度空间,周杰伦,
Sail On,Promises,Ryn Weaver,
You Don't Trust Me At All,绝世名伶,范晓萱,
游园惊梦,日光倾城,卡奇社,
Telephone ,The Fame Monster,Beyoncé;Lady Gaga,
克卜勒,克卜勒,孙燕姿,Kepler
后来,滚石香港黄金十年 刘若英精选,刘若英,
Hotline Bling,Views,Drake,
SexyBack,FutureSex / LoveSounds,Justin Timberlake;Timbaland,
"One more time, One more chance (弾き語りVer.)","One more time,One more chance",山崎まさよし,
Bird Set Free,This Is Acting,Sia,
Intro,"Hurry Up, We're Dreaming",M83;Zola Jesus,
非酋,非酋,薛明媛;朱贺,
Mercury,Planetarium,Sufjan Stevens;Bryce Dessner;Nico Muhly;James McAlister,
The Burning Spider,The Burning Spider,Parov Stelar;Lightnin' Hopkins,
是什么让我遇见这样的你,麦田捕手,白安,
Take My Leave of You (Lambert Rework),Take My Leave of You (Lambert Rework),Arnór Dan;Ólafur Arnalds,
China clay pt.Ⅱ,Totorowave,Snow Fox Apprentice,
Letting Go,Nightsky,Tracey Chattaway,
White Avenue,Everlasting Truth,Re:plus,
Drift Orbit,Sine Dust,36,
I Am You,I Am You,Kim Taylor,
如歌的行板,新派朗诵,左旗,
Where Is The Love（Soule Rework),Where Is The Love,The Black Eyed Peas;Clement Bcx,
Out of the Darkness into the Light,More Than Words: The Best of Kevin Kern,Kevin Kern,
白桦林,卓越2000,朴树,
In2,Now That's What I Call Music! 92,WSTRN,
这样爱你好可怕,眼泪流回去,林凡,
Sunlight Zone,Becalmed,Sophie Hutchings,
Amber (Recomposed by Marco Caricola),Ambermixes,Endless Melancholy,
M.I.L.F. $,M.I.L.F. $,Fergie,
You Already Know,Double Dutchess,Fergie;Nicki Minaj,
Hungry,Double Dutchess,Fergie;Rick Ross,
伤不起,微加幸福,郁可唯,
Not Gonna Get Us,200 km/h in the Wrong Lane,t.A.T.u,
分开旅行,K歌情人派对,黄立行;刘若英,
"Turandot, opera: Act 3: Nessun dorma!",Carreras · Domingo · Pavarotti: The Three Tenors in Concert,Luciano Pavarotti,今夜无人入睡
I giorni,Islands: Essential Einaudi,Ludovico Einaudi,
「天空の城ラピュタ」~君をのせて,GHIBLI the Classics,久木田薫,
エンド・タイトル,東京ラブストーリー オリジナル・サウンドトラック,日向敏文,End Title
Forever Now ,Ghosts From The Past,Bang Gang,
Young And Beautiful,The Great Gatsby (Music from Baz Luhrmann's Film),Lana Del Rey,
Siboney,Introducing...Rubén González,Rubén González,
Stay Wild,Confetti,Little Birdy,
Something Just Like This,Mega Hits Sommer 2017,The Chainsmokers;Coldplay,
Work,ANTi,Rihanna;Drake,
S&M (Remix),S&M,Rihanna;Britney Spears,
Nothing Compares 2 U (Live),想像空间 Live,陈洁仪,
入戏太深,入戏太深,陈洁仪,
3055,Eulogy for Evolution,Ólafur Arnalds,
Sine Dust,Sine Dust,36,
I Love You But In The End I Will Destroy You,No Words To Voice Our Hopes And Fears,Goonies Never Say Die,
All the Things She Said,200 km/h in the Wrong Lane,t.A.T.u,
Whatever You Like (T.I.),"Uncovered, Vol.2",Anya Marina,
花の庭園 ,Dark Chronicle Premium Arrange,西浦智仁,
如歌的行板,天籁女声-游子,波希米娅女子合唱团,
回衫,回衫,景德镇文艺复兴,
U Were Not Here,Humans Become Machines,狸猫;邱比,
time will tell,HARMONY~J-POP MEETS CLASSICS~ (disc 6: Utada Hikaru Melody),宇多田ヒカル,
First Love,HARMONY~J-POP MEETS CLASSICS~ (disc 6: Utada Hikaru Melody),宇多田ヒカル,
Dream a Little Dream Of Me (Live),快乐男声 全国赛第九期,黄榕生,
Bad Liar,Bad Liar,Selena Gomez,
The Heart Asks Pleasure First,The Piano (Bande Originale du Film),Michael Nyman,
Hold On,Movements of the Heart,Tony Anderson,
The Sacrifice,The Piano (Bande Originale du Film),Michael Nyman,
In Ruins,Half-Truths and Indiscretions: The Anthology,The Burning Paris,
A De Carnaval,Fino Bossa Nova,João Donato,
H in New England,24 Postcards in Full Colour,Max Richter,
Sober Life,Sober Life,GALI,(Pro.by Gold Child)
Nothing Compares 2 U,She Who Dwells in the Secret Place of the Most High Shall Abide Under the Shadow of the Almighty,Sinéad O'Connor,
梦,东邪西毒: 终极版 电影原声大碟,Yo-Yo Ma;李勋,Dream
归，不归 (2018 Remaster),拾贰,方拾贰,
"Bach: Cello Suite No.1 in G major,Ⅰ Prelude",Yo-Yo Ma Impressions,Yo-Yo Ma,
Libertango,Soul of the Tango: The Music of Astor Piazzolla,Yo-Yo Ma,
Simple Gifts,Sounds of Yo-Yo Ma,Yo-Yo Ma,
如歌的行板,雨果发烧碟16,华语群星,
呐喊 Kent be delivered to...,呐喊 Kent be delivered to...,蜜汁叉烧,
i'm Falling,I'm Falling [Summer Tour EP 2017],Fcyco,
Confession of A Dreamer,I,WAV,
"Jupiter, the Bringer of Jollity From The Planets 木星，快乐之神选段  选自《行星组曲》 ",The Legendary Horn,华语群星,
Over the Pond,In a Safe Place,The Album Leaf,
墨家神机,《墨家神机》OST,eigenTunes亦听,
请你给我好一点的情敌,My Love,田馥甄,A Better Rival In Love
日光倾城,日光倾城,卡奇社,
강남스타일 (Live),我是歌手第四季 第五期: 淘汰赛,信,江南Style
Jupiter,my Classics!,平原綾香,
春よ、来い,桜-SAKURA-,松任谷由実,
Shape Of You (Galantis Remix),Shape of You,Galantis;Ed Sheeran,
Something Just Like This,Now Thats What I Call Music! 97,The Chainsmokers;Coldplay,
Deborah's Theme,The Grandmaster (Original Score),梅林茂;Ennio Morricone,
To My Soul,To My Soul,Jerry Folk,
Barellina,FANTASTIC JOURNEY,tsunenori a.k.a Marukabis,
stripe  ,"Straw,Water,Pinstripe",Roly Poly Rag Bear  ,
雨空,Colors,α·Pav,
足元,Perfect World,Akinobu,
永恒的梦,怡君,猛虎巧克力,Eternal DreamEternal Dream
Re...Japanesque,beatlessBEST... Mellow Relaxation.,DAISHI DANCE,
Star train,Modern Children 同名专辑,Modern Children,
what for?,courtship,sAr,
僕が死のうと思ったのは (Live at NHK Hall 2016.07.22),Forget Me Not,中島美嘉,曾经我也想过一了百了 / Boku Ga Shinou To Omottanowa
A Faint Memory,Holding Up the Sky,iamsleepless,
Lumberjack In The Morning,Roof To Roof,American Green,
鎮命歌 -しずめうた-,あさき、ゆめみし Original Sound Track,瀧沢一留,
Fade,Fade,Alan Walker,
shizukana umi,small sketch,mitsuyoshi matsuda,
Hidden Flows,Birds of Tartaria,City of the Lost,
Point Of No Return,Shadows Of The Past,Sleep Dealer,
Who We Want To Be,Crossroads,Tom Day,
The Little Life,Sound. Earth. Nature. Spirit.～vol.NATURE,S.E.N.S.,
At Your Best,Ultimate Aaliyah,Aaliyah,
享受,Di-Dar,王菲,
Story of my life,Peace of Soul,Kondor,
flower,Flower,makegumi,
I Want Your Love,70's R&B,Chic Orchestra,
I Want Your Love,Live and Direct,Chic Orchestra,
Nocturne,Piano Stories III: Nostalgia,久石譲,夜曲
贝加尔湖畔 (Live),第三季 那英组考核,李维;周深,
想念你 (Live),我是歌手第四季 第一期: 抢位赛,李玟,
Tensity,Shadows Of The Past,Sleep Dealer,
Theme For The Oddmory Philosophies ,The Journey Studies,The Seven Mile Journey,
Valentine My Funny,Tag Eins Tag Zwei,F.S. Blumm;Nils Frahm,
Lighthouse,UBUD Dua,吉田潔,灯塔
何日君再来 (1993年版 - 日语),何日君再来,邓丽君,
KAJA [come from],BALI dua,Jalan Jalan,
音楽のある風景,Twilight,Haruka Nakamura,
Human,Human,Rag'N'Bone Man,
Cannonball (Radio Remix),B-Sides,Damien Rice,
Temple,Aa,M.I.A.;G-Dragon;Baauer,
Rather Be,New Eyes,Jess Glynne;Clean Bandit,
夢の途中 (Live),椎名林檎と彼奴等がゆく 百鬼夜行2015,椎名林檎,
Future Pavilion,Make These Things Alright,miaou,
Farewell,Farewell,花伦,
アルタルフ～nejimaki musica～,ねじまきむじか,eufonius,
Lonely,Nana,Nana,
Intro...The Band Is So Cool,Young For You,GALA,"嘿,伙计们真酷"
悲歌,娑婆吟叹·莲花秘境,央吉玛,
To Train Together,Hachiko: A Dog's Story,Jan A.P. Kaczmarek,
Tomaso Antonio Vitali: Chaconne,Heifetz: Le violon du Siecle,Jascha Heifetz;Richard Ellsasser,
Fly Me to the Moon,The End of the World,Julie London,
Fly Me To The Moon,LISA CAFE~Tempo Feliz~,小野リサ,
It's My Life,Crush,Bon Jovi,
夏日绿荫,夏日绿荫,Pianoboy,
The Blue Notebooks,The Blue Notebooks,Max Richter;Tilda Swinton,
Cross the Breeze,Daydream Nation,Sonic Youth,
Superstar (selected by Diablo Cody) ,Hits Are For Squares,Sonic Youth,
山海,丑奴儿,草东没有派对,
Refrain ,恋愛集,S.E.N.S.,
"Winter, The ",Rivers Arms,Balmorhea,
Kangaru,Arrival (Original Motion Picture Soundtrack),Jóhann Jóhannsson,
The Middle of the World,Moonlight (Original Motion Picture Soundtrack),Nicholas Britell,
Honeymoon,Honeymoon,Lana Del Rey,
Cola,Paradise,Lana Del Rey,
Ljósið,Found Songs,Ólafur Arnalds,
Summertime (Aaron London Remix),Summertime (Aaron London Remix),Aaron London,
To Speak Of Solitude,Charcoal,Brambles,
The Scientist,Fifty Shades Darker (Original Motion Picture Soundtrack),Corinne Bailey Rae,
Calling you ,Smooth Jazz Cafe Vol 5,Jevetta Steele,
The Scientist,A Rush of Blood to the Head,Coldplay,
暧昧,当下,范晓萱+A,Infatuation
Somebody That I Used To Know,Somebody That I Used To Know,Walk off the Earth,
The Shooting,Victoria,Nils Frahm,
陌生的房间陌生的下午,熟悉的荒涼,Hello Nico,
Somebody That I Used To Know,Making Mirrors,Gotye;Kimbra,
Bring Me to Life,Fallen,Evanescence,
Kiss from a Rose,Seal,Seal,
Harmonium Song,"Because, Because",There Will Be Fireworks,
Three,Do These Lines Breathe,Ours to Alibi,
This Place Is My Home,Near Light,Near Light,
Handful Savants,Bring Back My Love,Cue,
Closer,Moments,N u a g e s,
Lemon,Lemon,Tülpa,
trip -うちへかえろ-,ブルーズ ,阿部芙蓉美,
Perfect Circles,The Monarch And The Viceroy,Carlos Cipa,
メトロノーム,the book about my idle plot on a vague anxiety,toe,
3月27日，在宛平南路等一个红绿灯的时间,钢琴随笔·第二年,罗威,
Nostalgia,Ruido blanco,Bosques de mi Mente,
Arrivals n.1,Like Crazy (The Score),Dustin O'Halloran,
鉄道員,UTAU,大貫妙子;坂本龍一,
Coast Off,Eingya,Helios,
Después de muertos,Lacuna,Andrei Machado,
One More Time,Days of Tomorrow,R. Armando Morabito;Tina Guo;Malukah,
Hope,The New World,Takahiro Kido,
Гармонизация,Лес в Корабле,82-75,
睫毛弯弯,Cyndi With U,王心凌,
水仙,Red Cyndi,王心凌,
Coachella - Woodstock In My Mind,Lust For Life,Lana Del Rey,柯切拉-伍德斯托克回忆
很多鱼,我听这种音乐的时候最爱你,龙宽九段,Plenty Of Fish
サイレント,cinematic sound foundation,REDЯUM,
夏影,AIR ORIGINAL SOUNDTRACK,麻枝准,
The Truth That You Leave,A Best,Pianoboy,
The Day I Lost My Love ,Celtic Heartland,Ron Korb,
A New Day,Mohicans: Music Inspired by the Deep Spirit of Native Americans,Paolo Re;Fabrizio Baldoni,
ALL,223,BLVC SVND,
NØEL,THISDREAMSUCKS,lostodyssey,
白菊丸頌,人間失格,中島ノブユキ,
Inside Our Own Cages,When All Guides Disappear,Oracles Always Lie,
孤星入命,东邪西毒: 终极版 电影原声大碟,Yo-Yo Ma;陈勋奇,Born Under a Total Eclipse
Love Like Mine (Bee's Knees Remix),Love Like Mine (Remixes),Miami Horror,
Under Pressure (Remastered),Nothing Has Changed,David Bowie,
Will You Still Love Me Tomorrow,Make This Moment,Inger Marie Gundersen,
I Will Be Blessed,Fino Bossa Nova,Lisa Ekdahl,
Innocence Recalled,Light Returning,Acoustic Ocean,
美人泪,孤单会消失离开不见,原子邦妮 Astro Bunny,
Marco Polo,華,城之内ミサ,马可波罗
Babylon Fall,ニュー.エポック,GOTH-TRAD;Max Romeo,
夕焼け,都,,Evening Glow
Hidden Paths To Finding,A Search for Somewhere Else,Carinthia,
武士の一分,冨田勲×山田洋次 時代劇三部作 ベストセレクション,冨田勲,
Up Ship! ,The Airship,Port Blue,
Vakning að elska,Soundtrack for life,Misha Mishenko,
Arête,Charcoal,Brambles,
"Standing In Silence, Pt. 12",Standing in Silence,Rhian Sheehan,
Cleam,Hidden Neighbors,Mister Lies,
Naptalan,The Evpatoria Report (EP),The Evpatoria Report,
Distant Memories,Distant Memories,Brasstracks;Alexander Lewis,
Ghosts and Bad Luck Birds,Lu,Robert J. P. Oberg,
Novel (Mr. Carmack Tribute),Novel,Coubo,
Eu sei que sou fraco,Lacuna,Andrei Machado,
Kinda Blue,Gemini,Astronautica,
Leave,Five Songs,Endless Melancholy,
Cello Blue,Cello Blue,David Darling,
We Don't Talk Anymore,BRIT Awards 2017,Charlie Puth;Selena Gomez,
1時間  ,道はつづく,ハンバート ハンバート,
Ivy,Blonde,Frank Ocean,
Down Boy,Is Is,Yeah Yeah Yeahs,
Stones,Sonic Nurse,Sonic Youth,
